1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
614	-1.047768	14.322550	41.358512	0.000662	3.7
615	-1.049476	13.747741	42.042678	0.001501	3.5
616	-1.052674	14.747089	40.867331	0.000973	3.5
617	-1.050558	15.746894	39.755417	0.001435	3.1
618	-1.049525	14.800815	40.806002	0.001519	3.2
619	-1.036803	15.800815	39.697168	0.000430	3.2
620	-1.048577	14.878199	40.717989	0.000948	3.4
621	-1.048040	14.000754	41.738761	0.000595	3.1
622	-1.038616	14.958279	40.627309	0.000835	3.2
623	-1.047665	14.135361	41.578856	0.001405	3.0
624	-1.043752	13.189512	42.729131	0.001149	3.1
625	-1.054499	12.243431	43.945167	0.001060	4.1
626	-1.049773	13.242889	42.662525	0.000868	3.1
627	-1.043626	12.380110	43.765228	0.001089	3.1
628	-1.043759	11.434036	45.041824	0.000855	3.3
629	-1.049341	12.376783	43.769591	0.001174	3.1
630	-1.050645	13.359102	42.518227	0.000935	3.3
631	-1.043433	12.413025	43.722115	0.000745	3.1
632	-1.052163	12.725622	43.316862	0.002431	3.1
633	-1.054168	11.789678	44.553293	0.001544	3.0
634	-1.052762	10.843596	45.876983	0.001850	2.9
635	-1.048615	9.897515	47.281735	0.001516	3.2
636	-1.050201	10.897515	45.799434	0.001175	3.2
637	-1.049765	9.951434	47.199369	0.001424	3.0
638	-1.057739	9.005353	48.687583	0.000664	3.6
639	-1.041057	8.059388	50.272502	0.001014	3.1
640	-1.043816	9.032598	48.643415	0.000320	3.3
641	-1.050024	8.754179	49.098586	0.001200	3.2
642	-1.055312	9.256073	48.284129	0.000849	3.2
643	-1.051448	9.057546	48.603040	0.001258	3.2
644	-1.042431	9.314077	48.191740	0.002180	3.1
645	-1.050175	8.367999	49.744218	0.001555	3.1
646	-1.052366	7.453626	51.342776	0.001126	3.2
647	-1.039425	8.453626	49.599602	0.002005	3.2
648	-1.054510	9.382583	48.083078	0.002347	3.1
649	-1.044508	8.436523	49.628419	0.000638	3.0
650	-1.053045	9.320943	48.180828	0.000585	3.1
651	-1.052789	8.438668	49.624804	0.001196	3.2
652	-1.044382	9.194036	48.383334	0.001613	3.2
653	-1.053327	10.194031	46.832297	0.000687	3.0
654	-1.061018	9.290257	48.229637	0.001268	3.0
655	-1.056315	8.351434	49.772291	0.001401	3.5
656	-1.044029	7.430997	51.383641	0.001733	3.2
657	-1.043344	6.494990	53.132884	0.001576	3.0
658	-1.055432	7.494147	51.269762	0.000948	2.9
659	-1.044049	6.619668	52.893036	0.000538	2.9
660	-1.045339	6.974197	52.222701	0.002760	3.2
661	-1.056299	7.969671	50.428193	0.000593	2.9
662	-1.050919	8.969483	48.745857	0.001464	3.0
663	-1.046645	9.269848	48.262156	0.000794	3.0
664	-1.050088	8.429285	49.640626	0.001900	2.9
